Position,Overall,Player,Team (Bye),Avg Pick,High,Low,Std Dev,% Drafted
RB52,130,James Conner,ARI (14),11.1,10.09,14.1,15.25,1
RB53,131,Alvin Kamara,NO (8),11.11,10.09,14.06,13.7,1
WR45,132,Ricky Pearsall,SF (8),12,10.04,13.1,12.93,1
TE9,133,George Kittle,SF (8),12.01,7.09,14.04,30.3,1
WR46,134,Wan'Dale Robinson,TEN (9),12.03,11,14.01,11.12,1
RB54,135,Brian Robinson Jr.,ATL (11),12.04,11.01,14.1,13.19,1
RB55,136,Emanuel Wilson,SEA (11),12.06,10.07,14.09,15.63,1
TE10,137,Travis Kelce,KC (5),12.07,9.03,15,20.28,1
RB56,138,Braelon Allen,NYJ (13),12.07,11.01,14.06,15.19,1
QB27,139,Jacoby Brissett,ARI (14),12.08,9.1,14.05,17.36,1
RB57,140,Tank Bigsby,PHI (10),12.09,11.05,14.05,12.33,1
WR47,141,Quentin Johnston,LAC (7),12.09,11.03,19,25.96,0.91
WR48,142,Josh Downs,IND (13),12.09,11.07,14.05,12.68,1
WR49,143,Xavier Worthy,KC (5),12.1,10.08,13.11,12.39,1
RB58,144,Emmett Johnson,KC (5),13,11.02,14.1,14.3,1
TE11,145,Dalton Kincaid,BUF (7),13.03,9.07,15.04,19.25,1
WR50,146,Jayden Higgins,HOU (8),13.03,11.03,15.01,15.7,1
QB28,147,Fernando Mendoza,LV (13),13.04,9.02,16.01,23.21,1
QB29,148,Aaron Rodgers,PIT (9),13.04,9.06,16.1,25.89,1
WR51,149,KC Concepcion,CLE (11),13.06,10.06,19,24.98,0.91
RB59,150,Mike Washington Jr.,LV (13),13.09,12.05,15.01,10.31,1
WR52,151,Matthew Golden,GB (11),13.09,11.07,19,22.52,0.91
RB60,152,Nicholas Singleton,TEN (9),13.1,12.03,15.08,12.24,1
RB61,153,Kimani Vidal,LAC (7),13.1,12.02,15.09,14.77,1
WR53,154,Khalil Shakir,BUF (7),13.11,12.04,19,21.72,0.91
RB62,155,Sean Tucker,TB (10),14.01,11.1,16,15.87,1
QB30,156,Geno Smith,NYJ (13),14.02,9.11,19,26,0.91
WR54,157,Romeo Doubs,NE (11),14.03,11.11,19,28.18,0.83
RB63,158,Kaytron Allen,WAS (7),14.1,13.05,19,18.94,0.91
TE12,159,Jake Ferguson,DAL (14),14.1,12.1,19,25.71,0.83
WR55,160,Jalen Coker,CAR (5),14.11,12.01,19,26.51,0.83
TE13,161,Isaiah Likely,NYG (8),15,9.07,19,35.56,0.75
DST1,162,Houston Texans,HOU (8),15.03,11.04,19,34.69,0.66
WR56,163,Jauan Jennings,MIN (6),15.03,13.02,19,23.23,0.83
RB64,164,Ray Davis,BUF (7),15.03,13.02,19,23.79,0.83
TE14,165,Mark Andrews,BAL (13),15.08,12.11,19,27.15,0.75
WR57,166,Stefon Diggs,,15.1,11.09,19,35.37,0.58
DST2,167,Denver Broncos,DEN (10),15.11,12.07,19,28.41,0.66
DST3,168,Seattle Seahawks,SEA (11),16.03,13.02,19,26.15,0.66
RB65,169,Jaylen Wright,MIA (6),16.04,14.02,19,24.93,0.66
DST4,170,Los Angeles Rams,LAR (11),16.04,12.03,19,26.62,0.66
TE15,171,Dallas Goedert,PHI (10),16.04,13.05,19,25.37,0.66
WR58,172,Omar Cooper Jr.,NYJ (13),16.04,13.04,19,29.17,0.58
QB31,173,Michael Penix Jr.,ATL (11),16.05,13.03,19,26.24,0.66
WR59,174,Rashid Shaheed,SEA (11),16.06,13,19,27.83,0.58
DST5,175,Philadelphia Eagles,PHI (10),16.08,14.01,19,22.37,0.66
QB32,176,Deshaun Watson,CLE (11),16.09,10.01,19,37.69,0.41
QB33,177,Tua Tagovailoa,ATL (11),16.09,10,19,38.36,0.41
DST6,178,New England Patriots,NE (11),16.1,14.04,19,21.19,0.66
DST7,179,Pittsburgh Steelers,PIT (9),16.1,14.05,19,20.8,0.66
QB34,180,Shedeur Sanders,CLE (11),16.11,13,19,31.47,0.41
RB66,181,Jordan James,SF (8),16.11,13.06,19,26.63,0.5
DST8,182,Minnesota Vikings,MIN (6),17,14.09,19,20.64,0.66
DST9,183,Jacksonville Jaguars,JAC (7),17,14.1,19,19.94,0.66
DST10,184,Los Angeles Chargers,LAC (7),17,15,19,19.22,0.66
RB67,185,Ollie Gordon II,MIA (6),17.04,14.11,19,21.4,0.5
RB68,186,Justice Hill,BAL (13),17.05,12.06,19,26.58,0.41
WR60,187,Denzel Boston,CLE (11),17.05,14.08,19,23.8,0.41
WR61,188,Jalen McMillan,TB (10),17.06,13.08,19,24.99,0.41
WR62,189,Travis Hunter,JAC (7),17.08,14.08,19,21.14,0.41
WR63,190,Jerry Jeudy,CLE (11),17.09,13.1,19,23.24,0.33
WR64,191,Deebo Samuel Sr.,,17.1,14.02,19,22.64,0.33
DST11,192,Green Bay Packers,GB (11),17.1,15.1,19,17.86,0.5
WR65,193,Antonio Williams,WAS (7),17.1,14.02,19,19.89,0.41
K1,194,Brandon Aubrey,DAL (14),17.11,14.02,19,20.8,0.33
RB69,195,MarShawn Lloyd,GB (11),17.11,14.09,19,22.92,0.25
QB35,196,J.J. McCarthy,MIN (6),18,14.04,19,22.73,0.25
QB36,197,Kirk Cousins,LV (13),18,14.03,19,23.02,0.25
RB70,198,Trey Benson,ARI (14),18,14.07,19,21.36,0.25
TE16,199,Oronde Gadsden II,LAC (7),18,13.06,19,22.18,0.25
WR66,200,Tre Tucker,LV (13),18.01,13.02,19,24,0.25
K2,201,Ka'imi Fairbairn,HOU (8),18.02,15.01,19,17.39,0.33
K3,202,Cameron Dicker,LAC (7),18.02,15.02,19,16.35,0.33
QB37,203,Justin Fields,KC (5),18.03,14.05,19,21.41,0.16
